stop_lat,zone_id,stop_lon,stop_id,stop_name,location_type
37.00914,,-76.35648,2031,KECOUGHTAN & REGENT,0
36.75995,,-76.25024,0835,BATTLEFIELD & ESSEX (mdblk),0
36.81557,,-76.24907,0834,BORDER & BERKLEY,0
36.75603,,-76.24857,0836,BATTLEFIELD & GIBSON,0
36.81191,,-76.24943,0831,STALHAM & FIRESIDE,0
36.81763,,-76.2519,0833,WINGFIELD & BERKLEY,0
36.80797,,-76.25607,0832,CAMPOSTELLA & VICKER,0
36.73071,,-76.2406,0839,BATTLEFIELD & NORTHFIELD,0
36.73468,,-76.24071,0838,BATTLEFIELD & GREAT BRIDGE,0
36.91633,,-76.23377,0547,LITTLE CREEK & BUFFALO,0
36.91568,,-76.23646,0546,LITTLE CREEK & MOOSE,0
36.91572,,-76.25255,0541,LITTLE CREEK & HAROLD,0
36.91271,,-76.25506,0540,TIDEWATER & LITTLE CREEK,0
36.9149,,-76.24617,0543,LITTLE DREEK & MERRITT,0
36.91523,,-76.25001,0542,LITTLE CREEK & SEWELLS POINT,0
36.91679,,-76.22999,0549,LITTLE CREEK & MEADOW CREEK,0
36.91676,,-76.23154,0548,LITTLE CREEK & BISON,0
36.86282,,-76.29458,0721,COLONIAL & GRAYDON,0
36.85957,,-76.29613,0720,COLONIAL & BOISSEVAIN,0
36.8658,,-76.29324,0723,COLONIAL & SHIRLEY,0
36.8638,,-76.29411,0722,COLONIAL & PRINCESS ANNE,0
36.86727,,-76.29261,0725,COLONIAL & WASHINGTON,0
36.8666,,-76.2929,0724,COLONIAL & SPOTSWOOD,0
36.87355,,-76.28984,0727,COLONIAL & 27TH,0
37.00794,,-76.39131,2319,G & PEMBROKE,0
36.87564,,-76.28891,0729,COLONIAL & 30TH,0
37.0049,,-76.39737,2317,PEMBROKE & CHILDS,0
36.99938,,-76.40393,2314,SHELL & GREENLAWN,0
37.00165,,-76.40229,2315,PEMBROKE & ABERDEEN,0
36.99601,,-76.40762,2312,35TH & ACORN,0
36.99763,,-76.40585,2313,SHELL & PARRISH,0
36.99363,,-76.41045,2310,35TH & CHESTNUT,0
36.99471,,-76.40905,2311,35TH & ABERDEEN,0
36.84801,,-76.19117,3773,KEMPSVILLE & CENTER 1,0
36.94483,,-76.23688,0059,OCEAN VIEW & WARWICK,0
36.84174,,-75.99632,3777,VIRGINIA BEACH & BIRDNECK,0
36.79797,,-76.08453,3776,HOLLAND & WARWICK,0
36.84661,,-76.19085,3775,KEMPSVILLE & CENTER 2,0
36.94554,,-76.27408,3774,GATE 4 NAVAL STATION,0
36.95361,,-76.25177,0053,DUFFYS & GRANBY,0
36.95141,,-76.25263,0052,GRANBY & SEAVIEW,0
36.94996,,-76.25426,0051,GRANBY & GOVERNMENT,0
36.94947,,-76.25481,0050,GRANBY & DUPRE,0
