[(0,0),(8,8)]
Line: (0,0):(0.4,0.4)
Line: (0.4,0.4):(1,0)
Line: (0.4,0.4):(0.2,1)
Line: (0,2):(0.4,1.6)
Line: (0.4,1.6):(1,2)
Line: (0.4,1.6):(0.2,1)
Line: (0,2):(0.4,2.4)
Line: (0.4,2.4):(1,2)
Line: (0.4,2.4):(0.2,3)
Line: (0,4):(0.4,3.6)
Line: (0.4,3.6):(1,4)
Line: (0.4,3.6):(0.2,3)
Line: (0,4):(0.4,4.4)
Line: (0.4,4.4):(1,4)
Line: (0.4,4.4):(0.2,5)
Line: (0,6):(0.4,5.6)
Line: (0.4,5.6):(1,6)
Line: (0.4,5.6):(0.2,5)
Line: (0,6):(0.4,6.4)
Line: (0.4,6.4):(1,6)
Line: (0.4,6.4):(0.2,7)
Line: (0,8):(0.4,7.6)
Line: (0.4,7.6):(1,8)
Line: (0.4,7.6):(0.2,7)
Line: (2,0):(1.6,0.4)
Line: (1.6,0.4):(1,0)
Line: (1.6,0.4):(1.8,1)
Line: (2,2):(1.6,1.6)
Line: (1.6,1.6):(1,2)
Line: (1.6,1.6):(1.8,1)
Line: (2,2):(1.6,2.4)
Line: (1.6,2.4):(1,2)
Line: (1.6,2.4):(1.8,3)
Line: (2,4):(1.6,3.6)
Line: (1.6,3.6):(1,4)
Line: (1.6,3.6):(1.8,3)
Line: (2,4):(1.6,4.4)
Line: (1.6,4.4):(1,4)
Line: (1.6,4.4):(1.8,5)
Line: (2,6):(1.6,5.6)
Line: (1.6,5.6):(1,6)
Line: (1.6,5.6):(1.8,5)
Line: (2,6):(1.6,6.4)
Line: (1.6,6.4):(1,6)
Line: (1.6,6.4):(1.8,7)
Line: (2,8):(1.6,7.6)
Line: (1.6,7.6):(1,8)
Line: (1.6,7.6):(1.8,7)
Line: (2,0):(2.4,0.4)
Line: (2.4,0.4):(3,0)
Line: (2.4,0.4):(2.2,1)
Line: (2,2):(2.4,1.6)
Line: (2.4,1.6):(3,2)
Line: (2.4,1.6):(2.2,1)
Line: (2,2):(2.4,2.4)
Line: (2.4,2.4):(3,2)
Line: (2.4,2.4):(2.2,3)
Line: (2,4):(2.4,3.6)
Line: (2.4,3.6):(3,4)
Line: (2.4,3.6):(2.2,3)
Line: (2,4):(2.4,4.4)
Line: (2.4,4.4):(3,4)
Line: (2.4,4.4):(2.2,5)
Line: (2,6):(2.4,5.6)
Line: (2.4,5.6):(3,6)
Line: (2.4,5.6):(2.2,5)
Line: (2,6):(2.4,6.4)
Line: (2.4,6.4):(3,6)
Line: (2.4,6.4):(2.2,7)
Line: (2,8):(2.4,7.6)
Line: (2.4,7.6):(3,8)
Line: (2.4,7.6):(2.2,7)
Line: (4,0):(3.6,0.4)
Line: (3.6,0.4):(3,0)
Line: (3.6,0.4):(3.8,1)
Line: (4,2):(3.6,1.6)
Line: (3.6,1.6):(3,2)
Line: (3.6,1.6):(3.8,1)
Line: (4,2):(3.6,2.4)
Line: (3.6,2.4):(3,2)
Line: (3.6,2.4):(3.8,3)
Line: (4,4):(3.6,3.6)
Line: (3.6,3.6):(3,4)
Line: (3.6,3.6):(3.8,3)
Line: (4,4):(3.6,4.4)
Line: (3.6,4.4):(3,4)
Line: (3.6,4.4):(3.8,5)
Line: (4,6):(3.6,5.6)
Line: (3.6,5.6):(3,6)
Line: (3.6,5.6):(3.8,5)
Line: (4,6):(3.6,6.4)
Line: (3.6,6.4):(3,6)
Line: (3.6,6.4):(3.8,7)
Line: (4,8):(3.6,7.6)
Line: (3.6,7.6):(3,8)
Line: (3.6,7.6):(3.8,7)
Line: (4,0):(4.4,0.4)
Line: (4.4,0.4):(5,0)
Line: (4.4,0.4):(4.2,1)
Line: (4,2):(4.4,1.6)
Line: (4.4,1.6):(5,2)
Line: (4.4,1.6):(4.2,1)
Line: (4,2):(4.4,2.4)
Line: (4.4,2.4):(5,2)
Line: (4.4,2.4):(4.2,3)
Line: (4,4):(4.4,3.6)
Line: (4.4,3.6):(5,4)
Line: (4.4,3.6):(4.2,3)
Line: (4,4):(4.4,4.4)
Line: (4.4,4.4):(5,4)
Line: (4.4,4.4):(4.2,5)
Line: (4,6):(4.4,5.6)
Line: (4.4,5.6):(5,6)
Line: (4.4,5.6):(4.2,5)
Line: (4,6):(4.4,6.4)
Line: (4.4,6.4):(5,6)
Line: (4.4,6.4):(4.2,7)
Line: (4,8):(4.4,7.6)
Line: (4.4,7.6):(5,8)
Line: (4.4,7.6):(4.2,7)
Line: (6,0):(5.6,0.4)
Line: (5.6,0.4):(5,0)
Line: (5.6,0.4):(5.8,1)
Line: (6,2):(5.6,1.6)
Line: (5.6,1.6):(5,2)
Line: (5.6,1.6):(5.8,1)
Line: (6,2):(5.6,2.4)
Line: (5.6,2.4):(5,2)
Line: (5.6,2.4):(5.8,3)
Line: (6,4):(5.6,3.6)
Line: (5.6,3.6):(5,4)
Line: (5.6,3.6):(5.8,3)
Line: (6,4):(5.6,4.4)
Line: (5.6,4.4):(5,4)
Line: (5.6,4.4):(5.8,5)
